GO:0003008,GO:0005576,GO:0005681,GO:0005737,GO:0005829,GO:0006109,GO:0009887,GO:0016337,GO:0030099,GO:0031224,GO:0043234,GO:0044428,GO:0044459,GO:0048523,GO:1902532,degree,bridgeness
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,175,0.062465999275446
0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,121,0.071943998336792
0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,295,0.165327996015549
0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,111,0.007116000168026
0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,124,0.1250029951334
0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,41,0.069836996495724
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,64,0.006701000034809
0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,306,0.259232014417648
0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,76,0.003510999958962
0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,62,0.001720999949612
0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,88,0.004509000107646
1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,151,0.148498997092247
0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,212,0.16261400282383
0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,63,0.00152499997057
0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,59,0.001494999974966
0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,42,0.000456000008853
0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,113,0.020538000389934
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,62,0.00378999998793
0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,186,0.065927997231484
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,106,0.001490999944508
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3.99999998990097E-06
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,0.000953999988269
0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,54,0.001254000002518
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,5.80000014451798E-05
0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,103,0.415408998727798
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,38,0.000505000003614
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,0.002945000072941
0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,15,9.99999974737875E-06
0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,116,0.062339000403881
0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,29,1.70000002981396E-05
0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,57,0.000770999991801
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,38,0.00130799994804
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1602,2.72038292884827
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,4.70000013592653E-05
0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,155,0.13604299724102
0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,57,0.003158000065014
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,0.000257999985479
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,12,3.00000010611257E-06
0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,35,0.003170999931172
1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,125,0.030441999435425
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
